manufacture_style,Code,product_name,大分類,中分類,小分類,Remark
MG6J4ZP/A,0013029776,iPhone 17 256G 黑 MG6J4,iPhone,iPhone 17,iPhone 17 黑,29900
MG6K4ZP/A,0013029777,iPhone 17 256G 白 MG6K4,iPhone,iPhone 17,iPhone 17 白,29900
MG6L4ZP/A,0013029778,iPhone 17 256G 霧藍 MG6L4,iPhone,iPhone 17,iPhone 17 藍,29900
MG6M4ZP/A,0013029779,iPhone 17 256G 薰衣紫 MG6M4,iPhone,iPhone 17,iPhone 17 紫,29900
MG6N4ZP/A,0013029780,iPhone 17 256G 鼠尾綠 MG6N4,iPhone,iPhone 17,iPhone 17 綠,29900
MG6P4ZP/A,0013029781,iPhone 17 512G 黑 MG6P4,iPhone,iPhone 17,iPhone 17 黑,36900
MG6Q4ZP/A,0013029782,iPhone 17 512G 白 MG6Q4,iPhone,iPhone 17,iPhone 17 白,36900
MG6T4ZP/A,0013029783,iPhone 17 512G 霧藍 MG6T4,iPhone,iPhone 17,iPhone 17 藍,36900
MG6U4ZP/A,0013029784,iPhone 17 512G 薰衣紫 MG6U4,iPhone,iPhone 17,iPhone 17 紫,36900
MG6V4ZP/A,0013029785,iPhone 17 512G 鼠尾綠 MG6V4,iPhone,iPhone 17,iPhone 17 綠,36900
MG2L4ZP/A,0013029786,iPhone Air 256G 太空黑 MG2L4,iPhone,iPhone Air,iPhone Air 黑,36900
MG2M4ZP/A,0013029787,iPhone Air 256G 雲白 MG2M4,iPhone,iPhone Air,iPhone Air 白,36900
MG2N4ZP/A,0013029788,iPhone Air 256G 淺金 MG2N4,iPhone,iPhone Air,iPhone Air 金,36900
MG2P4ZP/A,0013029789,iPhone Air 256G 天藍 MG2P4,iPhone,iPhone Air,iPhone Air 藍,36900
MG2Q4ZP/A,0013029790,iPhone Air 512G 太空黑 MG2Q4,iPhone,iPhone Air,iPhone Air 黑,43900
MG2T4ZP/A,0013029791,iPhone Air 512G 雲白 MG2T4,iPhone,iPhone Air,iPhone Air 白,43900
MG2U4ZP/A,0013029792,iPhone Air 512G 淺金 MG2U4,iPhone,iPhone Air,iPhone Air 金,43900
MG2V4ZP/A,0013029793,iPhone Air 512G 天藍 MG2V4,iPhone,iPhone Air,iPhone Air 藍,43900
MG2W4ZP/A,0013029794,iPhone Air 1T 太空黑 MG2W4,iPhone,iPhone Air,iPhone Air 黑,50900
MG2X4ZP/A,0013029795,iPhone Air 1T 雲白 MG2X4,iPhone,iPhone Air,iPhone Air 白,50900
MG2Y4ZP/A,0013029796,iPhone Air 1T 淺金 MG2Y4,iPhone,iPhone Air,iPhone Air 金,50900
MG304ZP/A,0013029797,iPhone Air 1T 天藍 MG304,iPhone,iPhone Air,iPhone Air 藍,50900
MG8G4ZP/A,0013029798,iPhone 17 Pro 256G 銀 MG8G4,iPhone,iPhone 17 Pro,iPhone 17 Pro 銀,39900
MG8H4ZP/A,0013029799,iPhone 17 Pro 256G 橙 MG8H4,iPhone,iPhone 17 Pro,iPhone 17 Pro 橙,39900
MG8J4ZP/A,0013029800,iPhone 17 Pro 256G 藏藍 MG8J4,iPhone,iPhone 17 Pro,iPhone 17 Pro 藍,39900
MG8K4ZP/A,0013029801,iPhone 17 Pro 512G 銀 MG8K4,iPhone,iPhone 17 Pro,iPhone 17 Pro 銀,46900
MG8M4ZP/A,0013029802,iPhone 17 Pro 512G 橙 MG8M4,iPhone,iPhone 17 Pro,iPhone 17 Pro 橙,46900
MG8N4ZP/A,0013029803,iPhone 17 Pro 512G 藏藍 MG8N4,iPhone,iPhone 17 Pro,iPhone 17 Pro 藍,46900
MG8P4ZP/A,0013029804,iPhone 17 Pro 1T 銀 MG8P4,iPhone,iPhone 17 Pro,iPhone 17 Pro 銀,53900
MG8Q4ZP/A,0013029805,iPhone 17 Pro 1T 橙 MG8Q4,iPhone,iPhone 17 Pro,iPhone 17 Pro 橙,53900
MG8R4ZP/A,0013029806,iPhone 17 Pro 1T 藏藍 MG8R4,iPhone,iPhone 17 Pro,iPhone 17 Pro 藍,53900
MFYM4ZP/A,0013029807,iPhone 17 PM 256G 銀 MFYM4,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 銀,44900
MFYN4ZP/A,0013029808,iPhone 17 PM 256G 橙 MFYN4,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 橙,44900
MFYP4ZP/A,0013029809,iPhone 17 PM 256G 藏藍 MFYP4,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 藍,44900
MFYQ4ZP/A,0013029810,iPhone 17 PM 512G 銀 MFYQ4,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 銀,51900
MFYT4ZP/A,0013029811,iPhone 17 PM 512G 橙 MFYT4,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 橙,51900
MFYU4ZP/A,0013029812,iPhone 17 PM 512G 藏藍 MFYU4,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 藍,51900
MFYV4ZP/A,0013029813,iPhone 17 PM 1T 銀 MFYV4,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 銀,58900
MFYW4ZP/A,0013029814,iPhone 17 PM 1T 橙 MFYW4,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 橙,58900
MFYX4ZP/A,0013029815,iPhone 17 PM 1T 藏藍 MFYX4,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 藍,58900
MFYY4ZP/A,0013029816,iPhone 17 PM 2T 銀 MFYY4,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 銀,72900
MG004ZP/A,0013029817,iPhone 17 PM 2T 橙 MG004,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 橙,72900
MG014ZP/A,0013029818,iPhone 17 PM 2T 藏藍 MG014,iPhone,iPhone 17 Pro Max,iPhone 17 Pro Max 藍,72900
MEH34TA/A,0013029819,AW SE 40 星鋁/星帶 S MEH34,Apple Watch,SE 3-GPS,40MM Sport,7900
MEH54TA/A,0013029820,AW SE 40 星鋁/星帶 L MEH54,Apple Watch,SE 3-GPS,40MM Sport,7900
MEH94TA/A,0013029821,AW SE 40 午鋁/午帶 S MEH94,Apple Watch,SE 3-GPS,40MM Sport,7900
MEHC4TA/A,0013029822,AW SE 40 午鋁/午帶 L MEHC4,Apple Watch,SE 3-GPS,40MM Sport,7900
MEHG4TA/A,0013029823,AW SE 44 星鋁/星帶 S MEHG4,Apple Watch,SE 3-GPS,44MM Sport,8900
MEHJ4TA/A,0013029824,AW SE 44 星鋁/星帶 L MEHJ4,Apple Watch,SE 3-GPS,44MM Sport,8900
MEHN4TA/A,0013029825,AW SE 44 午鋁/午帶 S MEHN4,Apple Watch,SE 3-GPS,44MM Sport,8900
MEHQ4TA/A,0013029826,AW SE 44 午鋁/午帶 L MEHQ4,Apple Watch,SE 3-GPS,44MM Sport,8900
MEP64TA/A,0013029827,AW SE CL 40 星鋁/星帶 S MEP64,Apple Watch,SE 3-Cell,40MM Sport,9400
MEP74TA/A,0013029828,AW SE CL 40 星鋁/星帶 L MEP74,Apple Watch,SE 3-Cell,40MM Sport,9400
MEP94TA/A,0013029829,AW SE CL 40 午鋁/午帶 S MEP94,Apple Watch,SE 3-Cell,40MM Sport,9400
MEPC4TA/A,0013029830,AW SE CL 40 午鋁/午帶 L MEPC4,Apple Watch,SE 3-Cell,40MM Sport,9400
MEPE4TA/A,0013029831,AW SE CL 44 星鋁/星帶 S MEPE4,Apple Watch,SE 3-Cell,44MM Sport,10400
MEPF4TA/A,0013029832,AW SE CL 44 星鋁/星帶 L MEPF4,Apple Watch,SE 3-Cell,44MM Sport,10400
MEPH4TA/A,0013029833,AW SE CL 44 午鋁/午帶 S MEPH4,Apple Watch,SE 3-Cell,44MM Sport,10400
MEPJ4TA/A,0013029834,AW SE CL 44 午鋁/午帶 L MEPJ4,Apple Watch,SE 3-Cell,44MM Sport,10400
MEQT4TA/A,0013029835,AW S11 42 黑鋁/黑帶 S MEQT4,Apple Watch,S11-GPS,42MM Sport,12900
MEQU4TA/A,0013029836,AW S11 42 黑鋁/黑帶 L MEQU4,Apple Watch,S11-GPS,42MM Sport,12900
MEQW4TA/A,0013029837,AW S11 42 灰鋁/黑帶 S MEQW4,Apple Watch,S11-GPS,42MM Sport,12900
MEQX4TA/A,0013029838,AW S11 42 灰鋁/黑帶 L MEQX4,Apple Watch,S11-GPS,42MM Sport,12900
MEU04TA/A,0013029839,AW S11 42 金鋁/粉帶 S MEU04,Apple Watch,S11-GPS,42MM Sport,12900
MEU44TA/A,0013029840,AW S11 42 金鋁/粉帶 L MEU44,Apple Watch,S11-GPS,42MM Sport,12900
MEU64TA/A,0013029841,AW S11 42 銀鋁/紫帶 S MEU64,Apple Watch,S11-GPS,42MM Sport,12900
MEU74TA/A,0013029842,AW S11 42 銀鋁/紫帶 L MEU74,Apple Watch,S11-GPS,42MM Sport,12900
MEUW4TA/A,0013029843,AW S11 46 黑鋁/黑帶 S MEUW4,Apple Watch,S11-GPS,46MM Sport,13900
MEUX4TA/A,0013029844,AW S11 46 黑鋁/黑帶 L MEUX4,Apple Watch,S11-GPS,46MM Sport,13900
MEV04TA/A,0013029845,AW S11 46 灰鋁/黑帶 S MEV04,Apple Watch,S11-GPS,46MM Sport,13900
MEV44TA/A,0013029846,AW S11 46 灰鋁/黑帶 L MEV44,Apple Watch,S11-GPS,46MM Sport,13900
MEV64TA/A,0013029847,AW S11 46 金鋁/粉帶 S MEV64,Apple Watch,S11-GPS,46MM Sport,13900
MEV74TA/A,0013029848,AW S11 46 金鋁/粉帶 L MEV74,Apple Watch,S11-GPS,46MM Sport,13900
MEV94TA/A,0013029849,AW S11 46 銀鋁/紫帶 S MEV94,Apple Watch,S11-GPS,46MM Sport,13900
MEVA4TA/A,0013029850,AW S11 46 銀鋁/紫帶 L MEVA4,Apple Watch,S11-GPS,46MM Sport,13900
MF834TA/A,0013029851,AW S11 CL 42 黑鋁/黑帶 S MF834,Apple Watch,S11-Cell,42MM Sport,15900
MF854TA/A,0013029852,AW S11 CL 42 黑鋁/黑帶 L MF854,Apple Watch,S11-Cell,42MM Sport,15900
MF8A4TA/A,0013029853,AW S11 CL 42 灰鋁/黑帶 S MF8A4,Apple Watch,S11-Cell,42MM Sport,15900
MF8C4TA/A,0013029854,AW S11 CL 42 灰鋁/黑帶 L MF8C4,Apple Watch,S11-Cell,42MM Sport,15900
MF8E4TA/A,0013029855,AW S11 CL 42 金鋁/粉帶 S MF8E4,Apple Watch,S11-Cell,42MM Sport,15900
MF8F4TA/A,0013029856,AW S11 CL 42 金鋁/粉帶 L MF8F4,Apple Watch,S11-Cell,42MM Sport,15900
MF8H4TA/A,0013029857,AW S11 CL 42 銀鋁/紫帶 S MF8H4,Apple Watch,S11-Cell,42MM Sport,15900
MF8J4TA/A,0013029858,AW S11 CL 42 銀鋁/紫帶 L MF8J4,Apple Watch,S11-Cell,42MM Sport,15900
MF8M4TA/A,0013029859,AW S11 CL 42 原鈦/灰帶 S MF8M4,Apple Watch,S11-鈦金屬,42MM 鈦金屬,22900
MF8N4TA/A,0013029860,AW S11 CL 42 原鈦/灰帶 L MF8N4,Apple Watch,S11-鈦金屬,42MM 鈦金屬,22900
MF8P4TA/A,0013029861,AW S11 CL 42 原鈦/原米 MF8P4,Apple Watch,S11-鈦金屬,42MM 鈦金屬,24400
MF8R4TA/A,0013029862,AW S11 CL 42 石鈦/黑帶 S MF8R4,Apple Watch,S11-鈦金屬,42MM 鈦金屬,22900
MF8T4TA/A,0013029863,AW S11 CL 42 石鈦/黑帶 L MF8T4,Apple Watch,S11-鈦金屬,42MM 鈦金屬,22900
MF8U4TA/A,0013029864,AW S11 CL 42 石鈦/石米 MF8U4,Apple Watch,S11-鈦金屬,42MM 鈦金屬,24400
MF8W4TA/A,0013029865,AW S11 CL 42 金鈦/粉帶 S MF8W4,Apple Watch,S11-鈦金屬,42MM 鈦金屬,22900
MF8X4TA/A,0013029866,AW S11 CL 42 金鈦/粉帶 L MF8X4,Apple Watch,S11-鈦金屬,42MM 鈦金屬,22900
MF8Y4TA/A,0013029867,AW S11 CL 42 金鈦/金米 MF8Y4,Apple Watch,S11-鈦金屬,42MM 鈦金屬,24400
MFC24TA/A,0013029868,AW S11 CL 46 黑鋁/黑帶 S MFC24,Apple Watch,S11-Cell,46MM Sport,16900
MFC44TA/A,0013029869,AW S11 CL 46 黑鋁/黑帶 L MFC44,Apple Watch,S11-Cell,46MM Sport,16900
MFC94TA/A,0013029870,AW S11 CL 46 灰鋁/黑帶 S MFC94,Apple Watch,S11-Cell,46MM Sport,16900
MFCA4TA/A,0013029871,AW S11 CL 46 灰鋁/黑帶 L MFCA4,Apple Watch,S11-Cell,46MM Sport,16900
MFCG4TA/A,0013029872,AW S11 CL 46 金鋁/粉帶 S MFCG4,Apple Watch,S11-Cell,46MM Sport,16900
MFCJ4TA/A,0013029873,AW S11 CL 46 金鋁/粉帶 L MFCJ4,Apple Watch,S11-Cell,46MM Sport,16900
MFCP4TA/A,0013029874,AW S11 CL 46 銀鋁/紫帶 S MFCP4,Apple Watch,S11-Cell,46MM Sport,16900
MFCR4TA/A,0013029875,AW S11 CL 46 銀鋁/紫帶 L MFCR4,Apple Watch,S11-Cell,46MM Sport,16900
MFCW4TA/A,0013029876,AW S11 CL 46 原鈦/灰帶 S MFCW4,Apple Watch,S11-鈦金屬,46MM 鈦金屬,24400
MFCX4TA/A,0013029877,AW S11 CL 46 原鈦/灰帶 L MFCX4,Apple Watch,S11-鈦金屬,46MM 鈦金屬,24400
MFCY4TA/A,0013029878,AW S11 CL 46 原鈦/原米 S MFCY4,Apple Watch,S11-鈦金屬,46MM 鈦金屬,25900
MFD04TA/A,0013029879,AW S11 CL 46 原鈦/原米 L MFD04,Apple Watch,S11-鈦金屬,46MM 鈦金屬,25900
MFD14TA/A,0013029880,AW S11 CL 46 石鈦/黑帶 S MFD14,Apple Watch,S11-鈦金屬,46MM 鈦金屬,24400
MFD24TA/A,0013029881,AW S11 CL 46 石鈦/黑帶 L MFD24,Apple Watch,S11-鈦金屬,46MM 鈦金屬,24400
MFD34TA/A,0013029882,AW S11 CL 46 石鈦/石米 S MFD34,Apple Watch,S11-鈦金屬,46MM 鈦金屬,25900
MFD44TA/A,0013029883,AW S11 CL 46 石鈦/石米 L MFD44,Apple Watch,S11-鈦金屬,46MM 鈦金屬,25900
MFD54TA/A,0013029884,AW S11 CL 46 金鈦/粉帶 S MFD54,Apple Watch,S11-鈦金屬,46MM 鈦金屬,24400
MFD64TA/A,0013029885,AW S11 CL 46 金鈦/粉帶 L MFD64,Apple Watch,S11-鈦金屬,46MM 鈦金屬,24400
MFD74TA/A,0013029886,AW S11 CL 46 金鈦/金米 S MFD74,Apple Watch,S11-鈦金屬,46MM 鈦金屬,25900
MFD84TA/A,0013029887,AW S11 CL 46 金鈦/金米 L MFD84,Apple Watch,S11-鈦金屬,46MM 鈦金屬,25900
MEWH4TA/A,0013029888,AW Ultra 原鈦/海洋藍 MEWH4,Apple Watch,Ultra 3,49MM Sport,26900
MEWK4TA/A,0013029889,AW Ultra 原鈦/高山藍環 S MEWK4,Apple Watch,Ultra 3,49MM Loop,26900
MEWM4TA/A,0013029890,AW Ultra 原鈦/高山藍環 M MEWM4,Apple Watch,Ultra 3,49MM Loop,26900
MEWP4TA/A,0013029891,AW Ultra 原鈦/高山藍環 L MEWP4,Apple Watch,Ultra 3,49MM Loop,26900
MEWR4TA/A,0013029892,AW Ultra 原鈦/越野藍環 S MEWR4,Apple Watch,Ultra 3,49MM Loop,26900
MEWU4TA/A,0013029893,AW Ultra 原鈦/越野藍環 L MEWU4,Apple Watch,Ultra 3,49MM Loop,26900
MEWW4TA/A,0013029894,AW Ultra 原鈦/原米蘭環 S MEWW4,Apple Watch,Ultra 3,49MM 不鏽鋼,29900
MEWY4TA/A,0013029895,AW Ultra 原鈦/原米蘭環 M MEWY4,Apple Watch,Ultra 3,49MM 不鏽鋼,29900
MF0E4TA/A,0013029896,AW Ultra 原鈦/原米蘭環 L MF0E4,Apple Watch,Ultra 3,49MM 不鏽鋼,29900
MF0J4TA/A,0013029897,AW Ultra 黑鈦/海洋黑 MF0J4,Apple Watch,Ultra 3,49MM Sport,26900
MF0Q4TA/A,0013029898,AW Ultra 黑鈦/高山黑環 S MF0Q4,Apple Watch,Ultra 3,49MM Loop,26900
MF0V4TA/A,0013029899,AW Ultra 黑鈦/高山黑環 M MF0V4,Apple Watch,Ultra 3,49MM Loop,26900
MF0X4TA/A,0013029900,AW Ultra 黑鈦/高山黑環 L MF0X4,Apple Watch,Ultra 3,49MM Loop,26900
MF1D4TA/A,0013029901,AW Ultra 黑鈦/越野黑環 S MF1D4,Apple Watch,Ultra 3,49MM Loop,26900
MF1H4TA/A,0013029902,AW Ultra 黑鈦/越野黑環 L MF1H4,Apple Watch,Ultra 3,49MM Loop,26900
MF1N4TA/A,0013029903,AW Ultra 黑鈦/黑米蘭環 S MF1N4,Apple Watch,Ultra 3,49MM 不鏽鋼,29900
MF1Q4TA/A,0013029904,AW Ultra 黑鈦/黑米蘭環 M MF1Q4,Apple Watch,Ultra 3,49MM 不鏽鋼,29900
MF1T4TA/A,0013029905,AW Ultra 黑鈦/黑米蘭環 L MF1T4,Apple Watch,Ultra 3,49MM 不鏽鋼,29900
MGYW4FE/A,0013029926,iPhone 16e 矽膠殼 黃 MGYW4,Accy,iPhone Case,iPhone 16e,1290
MGF24FE/A,0013029927,iPhone 17 透明殼 MGF24,Accy,iPhone Case,iPhone 17,1490
MGFT4FE/A,0013029928,iPhone 17P 透明殼 MGFT4,Accy,iPhone Case,iPhone 17 Pro,1490
MGFW4FE/A,0013029929,iPhone 17PM 透明殼 MGFW4,Accy,iPhone Case,iPhone 17 Pro Max,1490
MGEV4FE/A,0013029930,iPhone 17 矽膠殼 霓虹黃 MGEV4,Accy,iPhone Case,iPhone 17,1490
MGEW4FE/A,0013029931,iPhone 17 矽膠殼 錨藍 MGEW4,Accy,iPhone Case,iPhone 17,1490
MGEX4FE/A,0013029932,iPhone 17 矽膠殼 淡青苔 MGEX4,Accy,iPhone Case,iPhone 17,1490
MGF04FE/A,0013029933,iPhone 17 矽膠殼 霧紫 MGF04,Accy,iPhone Case,iPhone 17,1490
MGF14FE/A,0013029934,iPhone 17 矽膠殼 黑 MGF14,Accy,iPhone Case,iPhone 17,1490
MGH24FE/A,0013029935,iPhone Air 保護殼 暗影 MGH24,Accy,iPhone Case,iPhone Air,1490
MGH34FE/A,0013029936,iPhone Air 保護殼 冰霜 MGH34,Accy,iPhone Case,iPhone Air,1490
MH004FE/A,0013029937,iPhone Air 防護邊框 黑 MH004,Accy,iPhone Case,iPhone Air,1290
MH014FE/A,0013029938,iPhone Air 防護邊框 淺灰 MH014,Accy,iPhone Case,iPhone Air,1290
MH024FE/A,0013029939,iPhone Air 防護邊框 淺藍 MH024,Accy,iPhone Case,iPhone Air,1290
MH044FE/A,0013029940,iPhone Air 防護邊框 小麥 MH044,Accy,iPhone Case,iPhone Air,1290
MGFE4FE/A,0013029941,iPhone 17P 矽膠殼 橙 MGFE4,Accy,iPhone Case,iPhone 17 Pro,1490
MGFF4FE/A,0013029942,iPhone 17P 矽膠殼 黃 MGFF4,Accy,iPhone Case,iPhone 17 Pro,1490
MGFG4FE/A,0013029943,iPhone 17P 矽膠殼 紫 MGFG4,Accy,iPhone Case,iPhone 17 Pro,1490
MGFH4FE/A,0013029944,iPhone 17P 矽膠殼 午 MGFH4,Accy,iPhone Case,iPhone 17 Pro,1490
MGFJ4FE/A,0013029945,iPhone 17P 矽膠殼 陶 MGFJ4,Accy,iPhone Case,iPhone 17 Pro,1490
MGFK4FE/A,0013029946,iPhone 17P 矽膠殼 黑 MGFK4,Accy,iPhone Case,iPhone 17 Pro,1490
MGF34FE/A,0013029947,iPhone 17P 織紋殼 黑 MGF34,Accy,iPhone Case,iPhone 17 Pro,1890
MGF44FE/A,0013029948,iPhone 17P 織紋殼 藍 MGF44,Accy,iPhone Case,iPhone 17 Pro,1890
MGF54FE/A,0013029949,iPhone 17P 織紋殼 紫 MGF54,Accy,iPhone Case,iPhone 17 Pro,1890
MGF64FE/A,0013029950,iPhone 17P 織紋殼 褐 MGF64,Accy,iPhone Case,iPhone 17 Pro,1890
MGF74FE/A,0013029951,iPhone 17P 織紋殼 綠 MGF74,Accy,iPhone Case,iPhone 17 Pro,1890
MGFL4FE/A,0013029952,iPhone 17PM 矽膠殼 橙 MGFL4,Accy,iPhone Case,iPhone 17 Pro Max,1490
MGFM4FE/A,0013029953,iPhone 17PM 矽膠殼 黃 MGFM4,Accy,iPhone Case,iPhone 17 Pro Max,1490
MGFN4FE/A,0013029954,iPhone 17PM 矽膠殼 紫 MGFN4,Accy,iPhone Case,iPhone 17 Pro Max,1490
MGFP4FE/A,0013029955,iPhone 17PM 矽膠殼 午 MGFP4,Accy,iPhone Case,iPhone 17 Pro Max,1490
MGFQ4FE/A,0013029956,iPhone 17PM 矽膠殼 陶 MGFQ4,Accy,iPhone Case,iPhone 17 Pro Max,1490
MGFR4FE/A,0013029957,iPhone 17PM 矽膠殼 黑 MGFR4,Accy,iPhone Case,iPhone 17 Pro Max,1490
MGF84FE/A,0013029958,iPhone 17PM 織紋殼 黑 MGF84,Accy,iPhone Case,iPhone 17 Pro Max,1890
MGF94FE/A,0013029959,iPhone 17PM 織紋殼 藍 MGF94,Accy,iPhone Case,iPhone 17 Pro Max,1890
MGFA4FE/A,0013029960,iPhone 17PM 織紋殼 紫 MGFA4,Accy,iPhone Case,iPhone 17 Pro Max,1890
MGFC4FE/A,0013029961,iPhone 17PM 織紋殼 褐 MGFC4,Accy,iPhone Case,iPhone 17 Pro Max,1890
MGFD4FE/A,0013029962,iPhone 17PM 織紋殼 綠 MGFD4,Accy,iPhone Case,iPhone 17 Pro Max,1890
MGH64FE/A,0013029963,iPhone 織紋卡套 狐橙 MGH64,Accy,*iPhone Accy,MagSafe,1890
MGH74FE/A,0013029964,iPhone 織紋卡套 青苔 MGH74,Accy,*iPhone Accy,MagSafe,1890
MGH84FE/A,0013029965,iPhone 織紋卡套 午紫 MGH84,Accy,*iPhone Accy,MagSafe,1890
MGH94FE/A,0013029966,iPhone 織紋卡套 軍藍 MGH94,Accy,*iPhone Accy,MagSafe,1890
MGHA4FE/A,0013029967,iPhone 織紋卡套 黑 MGHA4,Accy,*iPhone Accy,MagSafe,1890
MGGD4FE/A,0013029968,斜背掛繩 橙 MGGD4,Accy,*iPhone Accy,掛繩,1890
MGGE4FE/A,0013029969,斜背掛繩 霓虹黃 MGGE4,Accy,*iPhone Accy,掛繩,1890
MGGF4FE/A,0013029970,斜背掛繩 綠 MGGF4,Accy,*iPhone Accy,掛繩,1890
MGGG4FE/A,0013029971,斜背掛繩 藍 MGGG4,Accy,*iPhone Accy,掛繩,1890
MGGH4FE/A,0013029972,斜背掛繩 淡藍 MGGH4,Accy,*iPhone Accy,掛繩,1890
MGGJ4FE/A,0013029973,斜背掛繩 紫 MGGJ4,Accy,*iPhone Accy,掛繩,1890
MGGK4FE/A,0013029974,斜背掛繩 小麥 MGGK4,Accy,*iPhone Accy,掛繩,1890
MGGL4FE/A,0013029975,斜背掛繩 黑 MGGL4,Accy,*iPhone Accy,掛繩,1890
MGGM4FE/A,0013029976,斜背掛繩 淺灰 MGGM4,Accy,*iPhone Accy,掛繩,1890
MGGN4FE/A,0013029977,斜背掛繩 赭褐 MGGN4,Accy,*iPhone Accy,掛繩,1890
MGFX4FE/A,0013029978,AirTag 織紋鑰匙圈 青苔 MGFX4,Accy,*iPhone Accy,AirTag Accy,1290
MGFY4FE/A,0013029979,AirTag 織紋鑰匙圈 狐橙 MGFY4,Accy,*iPhone Accy,AirTag Accy,1290
MGG04FE/A,0013029980,AirTag 織紋鑰匙圈 午紫 MGG04,Accy,*iPhone Accy,AirTag Accy,1290
MGG14FE/A,0013029981,AirTag 織紋鑰匙圈 軍藍 MGG14,Accy,*iPhone Accy,AirTag Accy,1290
MGG24FE/A,0013029982,AirTag 織紋鑰匙圈 黑 MGG24,Accy,*iPhone Accy,AirTag Accy,1290
MGKQ4J/A,0013029983,40W 電源轉接器 MGKQ4,Accy,#Power Adapter,USB-C,1290
MGD74TA/A,0013029984,MagSafe 充電器 1m MGD74,Accy,#Cable,MagSafe,1290
MGDM4TA/A,0013029985,MagSafe 充電器 2m MGDM4,Accy,#Cable,MagSafe,1790
MGPG4TA/A,0013029986,iPhone Air MagSafe 電池 MGPG4,Accy,*iPhone Accy,MagSafe,3290
MFF64FE/A,0013029987,40 運動錶環 錨藍 MFF64,Accy,*Apple Watch Accy,Band 40mm Sport Loop,1600
MFF74FE/A,0013029988,40 運動錶環 森林 MFF74,Accy,*Apple Watch Accy,Band 40mm Sport Loop,1600
MFF84FE/A,0013029989,40 運動錶環 霧紫 MFF84,Accy,*Apple Watch Accy,Band 40mm Sport Loop,1600
MFF94FE/A,0013029990,40 運動錶環 霓虹黃 MFF94,Accy,*Apple Watch Accy,Band 40mm Sport Loop,1600
MFFA4FE/A,0013029991,40 運動錶環 深灰 MFFA4,Accy,*Apple Watch Accy,Band 40mm Sport Loop,1600
MFFC4FE/A,0013029992,42 運動錶環 錨藍 MFFC4,Accy,*Apple Watch Accy,Band 42mm Sport Loop,1600
MFFD4FE/A,0013029993,42 運動錶環 森林 MFFD4,Accy,*Apple Watch Accy,Band 42mm Sport Loop,1600
MFFE4FE/A,0013029994,42 運動錶環 霧紫 MFFE4,Accy,*Apple Watch Accy,Band 42mm Sport Loop,1600
MFFF4FE/A,0013029995,42 運動錶環 霓虹黃 MFFF4,Accy,*Apple Watch Accy,Band 42mm Sport Loop,1600
MFFG4FE/A,0013029996,42 運動錶環 深灰 MFFG4,Accy,*Apple Watch Accy,Band 42mm Sport Loop,1600
MFFH4FE/A,0013029997,46 運動錶環 錨藍 MFFH4,Accy,*Apple Watch Accy,Band 46mm Sport Loop,1600
MFFJ4FE/A,0013029998,46 運動錶環 森林 MFFJ4,Accy,*Apple Watch Accy,Band 46mm Sport Loop,1600
MFFK4FE/A,0013029999,46 運動錶環 霧紫 MFFK4,Accy,*Apple Watch Accy,Band 46mm Sport Loop,1600
MFFL4FE/A,0013030000,46 運動錶環 霓虹黃 MFFL4,Accy,*Apple Watch Accy,Band 46mm Sport Loop,1600
MFFM4FE/A,0013030001,46 運動錶環 深灰 MFFM4,Accy,*Apple Watch Accy,Band 46mm Sport Loop,1600
MFFN4FE/A,0013030002,46 運動錶環 深灰 XL MFFN4,Accy,*Apple Watch Accy,Band 46mm Sport Loop,1600
MFFT4FE/A,0013030003,40 運動錶帶 霓虹黃 SM MFFT4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MFFU4FE/A,0013030004,40 運動錶帶 霓虹黃 ML MFFU4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MFFV4FE/A,0013030005,40 運動錶帶 錨藍 SM MFFV4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MFFW4FE/A,0013030006,40 運動錶帶 錨藍 ML MFFW4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MFFX4FE/A,0013030007,40 運動錶帶 霧紫 SM MFFX4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MFFY4FE/A,0013030008,40 運動錶帶 霧紫 ML MFFY4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MFGC4FE/A,0013030009,42 運動錶帶 霓虹黃 SM MFGC4,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MFGD4FE/A,0013030010,42 運動錶帶 霓虹黃 ML MFGD4,Accy,*Apple Watch Accy,Band 42mm Sport,1600
